Data from https://doi.org/10.1016/j.apmt.2021.101023
Upon cooling
Temperature(K)	Heat capacity(J/kg/K)

220.02	844.82
220.03	844.87
220.04	844.92
220.05	844.97
220.06	845.01
220.07	845.06
220.08	845.11
220.09	845.16
220.1	845.21
220.11	845.26
220.12	845.3
220.13	845.35
220.14	845.4
220.15	845.45
220.16	845.5
220.17	845.55
220.18	845.59
220.19	845.64
220.2	845.69
220.21	845.74
220.22	845.79
220.23	845.83
220.24	845.88
220.25	845.93
220.26	845.98
220.27	846.03
220.28	846.08
220.29	846.12
220.3	846.17
220.31	846.22
220.32	846.27
220.33	846.32
220.34	846.37
220.35	846.41
220.36	846.46
220.37	846.51
220.38	846.56
220.39	846.61
220.4	846.65
220.41	846.7
220.42	846.75
220.43	846.8
220.44	846.85
220.45	846.9
220.46	846.94
220.47	846.99
220.48	847.04
220.49	847.09
220.5	847.14
220.51	847.18
220.52	847.23
220.53	847.28
220.54	847.33
220.55	847.38
220.56	847.43
220.57	847.47
220.58	847.52
220.59	847.57
220.6	847.62
220.61	847.67
220.62	847.72
220.63	847.76
220.64	847.81
220.65	847.86
220.66	847.91
220.67	847.96
220.68	848
220.69	848.05
220.7	848.1
220.71	848.15
220.72	848.2
220.73	848.25
220.74	848.29
220.75	848.34
220.76	848.39
220.77	848.44
220.78	848.49
220.79	848.54
220.8	848.58
220.81	848.63
220.82	848.68
220.83	848.73
220.84	848.78
220.85	848.82
220.86	848.87
220.87	848.92
220.88	848.97
220.89	849.02
220.9	849.07
220.91	849.11
220.92	849.16
220.93	849.21
220.94	849.26
220.95	849.31
220.96	849.36
220.97	849.4
220.98	849.45
220.99	849.5
221	849.55
221.01	849.6
221.02	849.64
221.03	849.69
221.04	849.74
221.05	849.79
221.06	849.84
221.07	849.89
221.08	849.93
221.09	849.98
221.1	850.03
221.11	850.08
221.12	850.13
221.13	850.17
221.14	850.22
221.15	850.27
221.16	850.32
221.17	850.37
221.18	850.42
221.19	850.46
221.2	850.51
221.21	850.56
221.22	850.61
221.23	850.66
221.24	850.71
221.25	850.75
221.26	850.8
221.27	850.85
221.28	850.9
221.29	850.95
221.3	850.99
221.31	851.04
221.32	851.09
221.33	851.14
221.34	851.19
221.35	851.24
221.36	851.28
221.37	851.33
221.38	851.38
221.39	851.43
221.4	851.48
221.41	851.53
221.42	851.57
221.43	851.62
221.44	851.67
221.45	851.72
221.46	851.77
221.47	851.81
221.48	851.86
221.49	851.91
221.5	851.96
221.51	852.01
221.52	852.06
221.53	852.1
221.54	852.15
221.55	852.2
221.56	852.25
221.57	852.3
221.58	852.35
221.59	852.39
221.6	852.44
221.61	852.49
221.62	852.54
221.63	852.59
221.64	852.63
221.65	852.68
221.66	852.73
221.67	852.78
