Data from https://doi.org/10.1038/s41467-019-09730-9
Upon cooling
Temperature(K)	Heat capacity(J/kg/K)

362.97	8415.63
362.97	10909.22
362.96	9456.17
362.96	8684.61
362.95	7188.57
362.94	6250.76
362.94	4868.88
362.93	3992.73
362.92	1612.59
362.92	30.52
362.91	88.36
362.9	104.92
362.89	157.71
362.89	185.47
362.88	202.56
362.87	198.97
362.86	200.59
362.85	214.28
362.85	239.93
362.84	285.51
362.83	368.88
362.82	461.53
362.81	556.38
362.81	597.06
362.8	623.14
362.79	644.22
362.78	674.53
362.77	703.39
362.76	724.65
362.75	741.92
362.74	760.57
362.73	781.29
362.72	802.45
362.71	821.06
362.7	844.06
362.69	858.63
362.68	880.74
362.67	905.86
362.66	928.52
362.65	940.99
362.64	956.08
362.63	974.02
362.62	996.55
362.61	1016.51
362.6	1027.25
362.59	1039.8
362.58	1050.8
362.56	1066.55
362.55	1080.33
362.54	1094.82
362.53	1103.03
362.52	1113.41
362.51	1127.61
362.5	1140.15
362.49	1160.9
362.47	1174.92
362.46	1185.93
362.45	1201.99
362.44	1213.53
362.43	1225.67
362.42	1236.56
362.4	1243.59
362.39	1258.9
362.38	1269.28
362.37	1277.5
362.36	1287.99
362.35	1294.47
362.33	1306.71
362.32	1323.52
362.31	1331.24
362.3	1344.67
362.28	1356.27
362.27	1368.84
362.26	1378.44
362.24	1391.1
362.23	1396.73
362.22	1405.05
362.21	1412.44
362.19	1423.58
362.18	1431.27
362.17	1439.19
362.16	1450.8
362.14	1460.63
362.13	1469.56
362.12	1481.76
362.1	1492.08
362.09	1501.24
362.08	1506.4
362.06	1513.88
362.05	1521.64
362.04	1529.26
362.03	1536.63
362.01	1539.89
362	1546.98
361.99	1557.16
361.97	1568.78
361.96	1580.99
361.95	1591.56
361.93	1601.89
361.92	1610.13
361.9	1614.89
361.89	1621.18
361.88	1629.98
361.87	1630.68
361.85	1637.35
361.84	1645.42
361.82	1651.02
361.81	1660.93
361.8	1669.62
361.78	1678.6
361.77	1687.2
361.75	1695.34
361.74	1702.74
361.73	1714.97
361.71	1722.67
361.7	1728.52
361.69	1733
361.67	1741.26
361.66	1747.34
361.64	1752.64
361.63	1757.28
361.62	1759.84
361.6	1767.15
