Data from https://doi.org/10.1002/adma.202008076
Upon cooling
Temperature(K)	Heat capacity(J/kg/K)

250	963.45
250.1	963.73
250.2	964.02
250.3	964.31
250.4	964.6
250.5	964.88
250.6	965.17
250.7	965.46
250.8	965.75
250.9	966.04
251	966.32
251.1	966.61
251.2	966.9
251.3	967.19
251.4	967.48
251.5	967.76
251.6	968.05
251.7	968.34
251.8	968.63
251.9	968.92
252	969.2
252.1	969.49
252.2	969.78
252.3	970.07
252.4	970.36
252.5	970.64
252.6	970.93
252.7	971.22
252.8	971.51
252.9	971.8
253	972.08
253.1	972.37
253.2	972.66
253.3	972.95
253.4	973.24
253.5	973.52
253.6	973.81
253.7	974.1
253.8	974.39
253.9	974.68
254	974.96
254.1	975.25
254.2	975.54
254.3	975.83
254.4	976.12
254.5	976.4
254.6	976.69
254.7	976.98
254.8	977.27
254.9	977.56
255	977.84
255.1	978.13
255.2	978.42
255.3	978.71
255.4	979
255.5	979.28
255.6	979.57
255.7	979.86
255.8	980.15
255.9	980.44
256	980.72
256.1	981.01
256.2	981.3
256.3	981.59
256.4	981.88
256.5	982.16
256.6	982.45
256.7	982.74
256.8	983.03
256.9	983.32
257	983.6
257.1	983.89
257.2	984.18
257.3	984.47
257.4	984.76
257.5	985.04
257.6	985.33
257.7	985.62
257.8	985.91
257.9	986.2
258	986.48
258.1	986.77
258.2	987.06
258.3	987.35
258.4	987.64
258.5	987.92
258.6	988.21
258.7	988.5
258.8	988.79
258.9	989.08
259	989.36
259.1	989.65
259.2	989.94
259.3	990.23
259.4	990.52
259.5	990.8
259.6	991.09
259.7	991.38
259.8	991.67
259.9	991.96
260	992.24
260.1	992.53
260.2	992.82
260.3	993.11
260.4	993.4
260.5	993.68
260.6	993.97
260.7	994.26
260.8	994.55
260.9	994.84
261	995.12
261.1	995.41
261.2	995.7
261.3	995.99
261.4	996.28
261.5	996.56
261.6	996.85
261.7	997.14
261.8	997.43
261.9	997.72
262	998
262.1	998.29
262.2	998.58
262.3	998.87
262.4	999.16
262.5	999.44
262.6	999.73
262.7	1000.02
262.8	1000.31
262.9	1000.6
263	1000.88
263.1	1001.17
263.2	1001.46
263.3	1001.75
263.4	1002.04
263.5	1002.32
263.6	1002.61
263.7	1002.9
263.8	1003.19
263.9	1003.48
264	1003.76
264.1	1004.05
264.2	1004.34
264.3	1004.63
264.4	1004.92
264.5	1005.2
264.6	1005.49
264.7	1005.78
264.8	1006.07
264.9	1006.36
265	1006.64
265.1	1006.93
265.2	1007.22
265.3	1007.51
265.4	1007.8
265.5	1008.08
265.6	1008.37
265.7	1008.66
265.8	1008.95
265.9	1009.24
266	1009.52
266.1	1009.81
266.2	1010.1
266.3	1010.39
266.4	1010.68
266.5	1010.96
266.6	1011.25
266.7	1011.54
266.8	1011.83
266.9	1012.12
267	1012.4
267.1	1012.69
267.2	1012.98
267.3	1013.27
267.4	1013.56
267.5	1013.84
267.6	1014.13
267.7	1014.42
267.8	1014.71
267.9	1015
268	1015.28
268.1	1015.57
268.2	1015.86
268.3	1016.15
268.4	1016.44
268.5	1016.72
268.6	1017.01
268.7	1017.3
268.8	1017.59
268.9	1017.88
269	1018.16
269.1	1018.45
269.2	1018.74
269.3	1019.03
269.4	1019.32
269.5	1019.6
269.6	1019.89
269.7	1020.18
269.8	1020.47
269.9	1020.76
270	1021.04
270.1	1021.33
270.2	1021.62
270.3	1021.91
270.4	1022.2
270.5	1022.48
270.6	1022.77
270.7	1023.06
270.8	1023.35
270.9	1023.64
271	1023.92
271.1	1024.21
271.2	1024.5
271.3	1024.79
271.4	1025.08
271.5	1025.36
271.6	1025.65
271.7	1025.94
271.8	1026.23
271.9	1026.52
272	1026.8
272.1	1027.09
272.2	1027.38
272.3	1027.67
272.4	1027.96
272.5	1028.24
272.6	1028.53
