Data from DeSorbo 1953 for temperature range 100-300 K (10.1063/1.1698640)
Data from Butland 1973 for temperature range 300-4000 K (10.1016/0022-3115(73)90060-3)
Data from Pop 2012 (10.1557/mrs.2012.203) in low temperature range, where it is stated that: "The low-temperature specific heat of an isolated graphene sheet is expected to be higher 
than that of graphite because of the contribution of low-frequency ZA phonons (also see  Figure 1b ). Above 100 K, the specific heats of graphene and graphite should be identical."
Temperature(K)	Heat capacity(J/kg/K)

2.29	15.4
8.18	19.88
14.36	24.73
22.01	31.44
27.9	38.5
36.14	44.47
42.91	50.43
47.62	56.01
54.09	61.6
61.45	67.2
68.8	75.01
75.57	80.97
80.87	86.18
85.87	92.13
91.76	98.46
95.88	102.92
100.39	143.63
106.59	150.95
112.49	164.89
118.14	184.07
123.88	197.66
129.43	211.61
135.19	227.99
140.57	240.54
146.37	258.67
152.42	279.58
158.23	293.18
163.93	315.84
169.4	329.78
177.55	350.00
183.68	360.81
189.63	386.96
195.24	403.34
200.81	420.77
206.11	433.32
211.1	454.59
215.8	459.82
220.4	483.87
225.3	487.36
230.44	507.58
235.55	523.96
240.48	540.00
245.2	553.24
249.33	564.05
254.34	580.78
259.69	594.38
264.92	616.34
269.89	630.63
271.49	633.07
275.53	643.88
279.94	657.48
282.37	664.8
284.07	670.38
286.99	679.79
291.21	694.08
293.22	690.94
294.71	691.64
296.95	704.54
299.02	712.21
300.57	717.09
313.87	782.5
348.64	894.42
395.8	1006.37
445.4	1081.07
477.68	1174.34
517.37	1249.01
574.39	1323.73
616.55	1392.19
663.67	1463.77
725.63	1526.09
780.16	1588.38
829.73	1641.34
906.54	1697.5
1003.16	1756.83
1079.96	1809.88
1156.75	1850.51
1245.93	1894.28
1330.14	1928.73
1414.34	1953.85
1501.01	1975.88
1582.73	1994.79
1652.08	2019.86
1751.12	2032.62
1845.22	2051.57
1944.27	2070.53
2030.94	2089.45
2120.08	2095.96
2224.07	2105.63
2323.11	2118.38
2429.57	2121.85
2516.23	2131.45
2622.7	2138.02
2734.11	2141.5
2825.72	2148.02
2929.7	2148.37
2991.6	2151.68




