name,invariant,thermoelectric,phase_change_material,electrocaloric,magnetocaloric,barocaloric,elastocaloric,cpThysteresis,dTThysteresis,kThysteresis,cpFields,kAnisotropy
100001-Inox,1,,,,,,,,,,,
100002-Gd,,,,,1,,,,,,1,
100003-LaFeMnSiH,,,,,1,,,,,,1,
500001-Si,1,,,,,,,,,,,
200001-LaCoO,1,,,,,,,,,,,
200002-LaSrCoO,1,,,,,,,,,,,
500002-AgTe,,,1,,,,,,,,,
500003-AgSSe,,,1,,,,,,,,,
500004-AgSSe,,,1,,,,,,,,,
400001-PFH_O,,,1,,,,,,,1,,
300002-PMMA,1,,,,,,,,,,,
200003-Quartz,1,,,,,,,,,,,1
510005-MoS2,1,,,,,,,,,,,
500006-Graphite,1,,,,,,,,,,,1
100004-NiTi,,,1,,,,,,,1,,
100005-Ag,1,,,,,,,,,,,
200004-BeO,1,,,,,,,,,,,
310001-P(VDF_TrFE),,,,1,,,,,,,,
310003-P(VDF_TrFE),,,,1,,,,,,,,
300002-PMMA,1,,,,,,,,,,,
200005-Corundum,1,,,,,,,,,,,
100006-Galinstan,1,,,,,,,,,,,
300004-PET,1,,,,,,,,,,,
310005-Kapton,1,,,,,,,,,,,
700001-H,1,,,,,,,,,,,
700002-He,1,,,,,,,,,,,
700003-Ne,1,,,,,,,,,,,
700004-Ar,1,,,,,,,,,,,
100007-Hg,1,,,,,,,,,,,
100008-Sn,1,,,,,,,,,,,
100009-Pb,1,,,,,,,,,,,
100010-Cu,1,,,,,,,,,,,
100011-Fe,1,,,,,,,,,,,
100012-Al,1,,,,,,,,,,,
100013-Ni,1,,,,,,,,,,,
500007-Ge,1,,,,,,,,,,,
100014-Be,1,,,,,,,,,,,
100015-In,1,,,,,,,,,,,
100016-Ga,1,,,,,,,,,,,
100017-Bi,1,,,,,,,,,,,
100018-Ta,1,,,,,,,,,,,
700005-Air,1,,,,,,,,,,,
700006-N,1,,,,,,,,,,,
700007-NH3,1,,,,,,,,,,,
700008-Hexane,1,,,,,,,,,,,
700008-Ethanol,1,,,,,,,,,,,
700009-Methanol,1,,,,,,,,,,,
700010-Acetone,1,,,,,,,,,,,
700011-Water,1,,,,,,,,,,,
710012-Graphene,1,,,,,,,,,,,
100019-AlCuNi,,,1,,,,,1,,,,
100020-NiTi,,,1,,,,,,,,,
100021-NiTi,,,1,,,,,,,,,
100022-NiTi,,,1,,,,,1,,,,
100023-NiTi,,,1,,,,,1,,,,
100024-NiTi,,,1,,,,,1,,,,
100025-TiNiCuAl,,,1,,,,1,,,,,
110026-NiTi,,,1,,,,,,,,,
120027-NiTi,,,1,,,,,1,,,,
310006-P(VDF_TrFE_CFE),,,,1,,,,,,,,
300007-PTFE,1,,,,,,,,,,,
700013-NaCl,1,,,,,,,,,,,
500008-Diamond,1,,,,,,,,,,,
500009-InAs,1,,,,,,,,,,,
100028-VO2,,,1,,,,,1,,1,,
200007-TiO2,1,,,,,,,,,,,
200009-Al2O3,1,,,,,,,,,,,
200010-CuO,1,,,,,,,,,,,
200011-MgO,1,,,,,,,,,,,
200012-ZrO2,1,,,,,,,,,,,
200013-PbTiO3,1,,,,,,,,,,,
200014-PMN_10PT,,,,1,,,,,,,,
700014-(C15H31NH3)2CuCl4,,,1,,,,,,,,,
700015-(C14H29NH3)2CuCl4,,,1,,,,,,,,,
700016-(C12H28N)2CuCl4,,,1,,,,,,,,,
700017-(C11H23NH3)2CuCl4,,,1,,,,,,,,,
700018-(C10H21NH3)2CuCl4,,,1,,,,,,,,,
700019-1Cl_APC,,,,,,1,,1,,,1,
300008-FulleriteC60,,,,,,1,,1,,,1,
100029-MnCoGeB,,,,,,1,,1,,,1,
100030-NiMnTiB,,,,,,1,,1,,,1,
700020-NPG,,,,,,1,,1,,,1,
700021-FBT,,,,,,1,,1,,,1,
100031-FeRh,,,,,1,,,,,,,
100032-LaFeCoSi,,,,,1,,,,,,1,
100033-LaFeCoSi,,,,,1,,,,,,1,
100034-LaFeCoSi,,,,,1,,,,,,1,
100035-LaFeCoSi,,,,,1,,,,,,1,
100036-LaFeCoSi,,,,,1,,,,,,1,
200015-TiN,1,,,,,,,,,,,
200016-Fe2O3,1,,,,,,,,,,,
200017-SiC,1,,,,,,,,,,,1
500010-GaN,1,,,,,,,,,,,
